year,positive_count,negative_count,total_feedback,positive_ratio,negative_ratio
2012,2.0,0,2.0,1.0,0.0
2014,6.0,2,8.0,0.75,0.25
2015,24.0,4,28.0,0.857,0.143
2016,5.0,2,7.0,0.714,0.286
2017,16.0,3,19.0,0.842,0.158
2018,41.0,17,58.0,0.707,0.293
2019,97.0,28,125.0,0.776,0.224
2020,94.0,19,113.0,0.832,0.168
2021,174.0,19,193.0,0.902,0.098
2022,561.0,54,615.0,0.912,0.088
2023,100790.0,23343,124133.0,0.812,0.188
2024,237357.0,53318,290675.0,0.817,0.183
2025,233650.0,45359,279009.0,0.837,0.163
2026,169597.0,40606,210203.0,0.807,0.193
